actual_pos[0],actual_pos[1],target_pos[0],target_pos[1],actual_vel[0],actual_vel[1],target_vel[0],target_vel[1],actual_torque[0],actual_torque[1],u_ff[0],u_ff[1],time
-0.661909,2.07489,-0.721875,2.08016,-0.101684,-0,-0.11145,0.00487838,-3.94009,0.36421,0,0,2.081
-0.662005,2.07489,-0.721986,2.08016,-0.101737,-0,-0.11145,0.00487838,-4.03942,0.3311,0,0,2.082
-0.662127,2.07489,-0.722098,2.08016,-0.114527,-0,-0.11145,0.00487838,-4.00631,0.23177,0,0,2.083
-0.662239,2.07489,-0.722209,2.08017,-0.112552,-0,-0.11145,0.00487838,-3.87387,0.39732,0,0,2.084
-0.662342,2.07489,-0.722321,2.08017,-0.103206,-0,-0.11145,0.00487838,-3.94009,0.36421,0,0,2.085
-0.66245,2.07489,-0.722432,2.08018,-0.107682,-0,-0.11145,0.00487838,-4.00631,0.3311,0,0,2.086
-0.662568,2.07489,-0.722543,2.08018,-0.11873,-0,-0.11145,0.00487838,-3.94009,0.29799,0,0,2.087
-0.66268,2.07489,-0.722655,2.08019,-0.109641,-0,-0.11145,0.00487838,-3.84076,0.3311,0,0,2.088
-0.662779,2.07489,-0.722766,2.08019,-0.0973196,-0,-0.11145,0.00487838,-3.90698,0.29799,0,0,2.089
-0.662883,2.07489,-0.722878,2.0802,-0.105262,-0,-0.11145,0.00487838,-3.90698,0.36421,0,0,2.09
-0.663006,2.07489,-0.722989,2.0802,-0.124214,-0,-0.11145,0.00487838,-3.9732,0.26488,0,0,2.091
-0.663125,2.07489,-0.723101,2.08021,-0.115474,-0,-0.11145,0.00487838,-3.84076,0.36421,0,0,2.092
-0.663236,2.07489,-0.723212,2.08021,-0.115167,-0,-0.11145,0.00487838,-4.00631,0.3311,0,0,2.093
-0.663347,2.07489,-0.723324,2.08022,-0.109706,-0,-0.11145,0.00487838,-4.00631,0.3311,0,0,2.094
-0.663458,2.07489,-0.723435,2.08022,-0.110815,-0,-0.11145,0.00487838,-3.94009,0.36421,0,0,2.095
-0.663581,2.07489,-0.723546,2.08023,-0.1239,-0,-0.11145,0.00487838,-3.80765,0.43043,0,0,2.096
-0.6637,2.07489,-0.723658,2.08023,-0.119551,-0,-0.11145,0.00487838,-3.84076,0.46354,0,0,2.097
-0.663819,2.07489,-0.723769,2.08024,-0.116421,-0,-0.11145,0.00487838,-3.94009,0.3311,0,0,2.098
-0.663934,2.07489,-0.723881,2.08024,-0.115896,-0,-0.11145,0.00487838,-3.87387,0.29799,0,0,2.099
-0.664053,2.07489,-0.723992,2.08025,-0.119244,-0,-0.11145,0.00487838,-3.80765,0.29799,0,0,2.1
-0.664168,2.07489,-0.724104,2.08025,-0.116774,-0,-0.11145,0.00487838,-3.87387,0.36421,0,0,2.101
-0.664283,2.07489,-0.724215,2.08026,-0.115578,-0,-0.11145,0.00487838,-3.90698,0.36421,0,0,2.102
-0.664409,2.07489,-0.724327,2.08026,-0.1238,-0,-0.11145,0.00487838,-3.84076,0.39732,0,0,2.103
-0.664528,2.07489,-0.724438,2.08027,-0.118834,-0,-0.11145,0.00487838,-3.84076,0.39732,0,0,2.104
-0.664647,2.07489,-0.72455,2.08027,-0.120042,-0,-0.11145,0.00487838,-3.84076,0.3311,0,0,2.105
-0.664766,2.07489,-0.724661,2.08028,-0.122722,-0,-0.11145,0.00487838,-3.94009,0.36421,0,0,2.106
-0.664889,2.07489,-0.724772,2.08028,-0.121629,-0,-0.11145,0.00487838,-3.87387,0.36421,0,0,2.107
-0.665008,2.07489,-0.724884,2.08029,-0.119348,-0,-0.11145,0.00487838,-3.74143,0.3311,0,0,2.108
-0.66513,2.07489,-0.724995,2.08029,-0.122657,-0,-0.11145,0.00487838,-3.90698,0.3311,0,0,2.109
-0.665257,2.07489,-0.725107,2.0803,-0.124862,-0,-0.11145,0.00487838,-3.87387,0.36421,0,0,2.11
-0.66538,2.07489,-0.725218,2.0803,-0.123873,-0,-0.11145,0.00487838,-3.84076,0.36421,0,0,2.111
-0.665498,2.07489,-0.72533,2.08031,-0.119302,-0,-0.11145,0.00487838,-3.87387,0.39732,0,0,2.112
-0.665625,2.07489,-0.725441,2.08031,-0.125376,-0,-0.11145,0.00487838,-3.74143,0.36421,0,0,2.113
-0.665744,2.07489,-0.725553,2.08032,-0.119869,-0,-0.11145,0.00487838,-3.84076,0.36421,0,0,2.114
-0.66587,2.07489,-0.725664,2.08032,-0.130139,-0,-0.11145,0.00487838,-3.70832,0.36421,0,0,2.115
-0.665993,2.07489,-0.725775,2.08033,-0.121894,-0,-0.11145,0.00487838,-3.87387,0.36421,0,0,2.116
-0.666108,2.07489,-0.725887,2.08033,-0.114374,-0,-0.11145,0.00487838,-3.80765,0.36421,0,0,2.117
-0.666231,2.07489,-0.725998,2.08034,-0.120337,-0,-0.11145,0.00487838,-3.77454,0.39732,0,0,2.118
-0.666354,2.07489,-0.72611,2.08034,-0.121994,-0,-0.11145,0.00487838,-3.80765,0.43043,0,0,2.119
-0.666476,2.07489,-0.726221,2.08035,-0.12102,-0,-0.11145,0.00487838,-3.77454,0.36421,0,0,2.12
-0.666599,2.07489,-0.726333,2.08035,-0.122619,-0,-0.11145,0.00487838,-3.87387,0.43043,0,0,2.121
-0.666722,2.07489,-0.726444,2.08036,-0.120092,-0,-0.11145,0.00487838,-3.90698,0.36421,0,0,2.122
-0.666844,2.07489,-0.726556,2.08036,-0.120893,-0,-0.11145,0.00487838,-3.90698,0.29799,0,0,2.123
-0.666963,2.07489,-0.726667,2.08036,-0.121476,-0,-0.11145,0.00487838,-3.84076,0.29799,0,0,2.124
-0.667086,2.07489,-0.726779,2.08037,-0.122899,-0,-0.11145,0.00487838,-3.90698,0.36421,0,0,2.125
-0.667205,2.07489,-0.72689,2.08037,-0.118113,-0,-0.11145,0.00487838,-3.90698,0.43043,0,0,2.126
-0.667335,2.07489,-0.727001,2.08038,-0.124045,-0,-0.11145,0.00487838,-3.80765,0.36421,0,0,2.127
-0.667443,2.07489,-0.727113,2.08038,-0.112702,-0,-0.11145,0.00487838,-3.87387,0.26488,0,0,2.128
-0.667565,2.07489,-0.727224,2.08039,-0.121445,-0,-0.11145,0.00487838,-3.84076,0.26488,0,0,2.129
-0.667684,2.07489,-0.727336,2.08039,-0.119988,-0,-0.11145,0.00487838,-3.84076,0.3311,0,0,2.13
-0.667803,2.07489,-0.727447,2.0804,-0.117392,-0,-0.11145,0.00487838,-3.77454,0.3311,0,0,2.131
-0.667926,2.07489,-0.727559,2.0804,-0.120444,-0,-0.11145,0.00487838,-3.87387,0.36421,0,0,2.132
-0.668045,2.07489,-0.72767,2.08041,-0.12046,-0,-0.11145,0.00487838,-3.87387,0.36421,0,0,2.133
-0.668168,2.07489,-0.727782,2.08041,-0.122005,-0,-0.11145,0.00487838,-3.77454,0.36421,0,0,2.134
-0.668283,2.07489,-0.727893,2.08042,-0.114354,-0,-0.11145,0.00487838,-3.87387,0.36421,0,0,2.135
-0.668401,2.07489,-0.728004,2.08042,-0.119382,-0,-0.11145,0.00487838,-3.87387,0.43043,0,0,2.136
-0.668516,2.07489,-0.728116,2.08043,-0.114784,-0,-0.11145,0.00487838,-3.77454,0.3311,0,0,2.137
-0.668635,2.07489,-0.728227,2.08043,-0.119988,-0,-0.11145,0.00487838,-3.80765,0.29799,0,0,2.138
